alpha,asset,weight,component_es,percent_contribution,portfolio_var,portfolio_es,component_es_return,portfolio_var_return,portfolio_es_return
0.01,AGG,0.2,0.00040115584719231765,0.022188694404927378,0.014695354921701112,0.018079290285021643,-0.00040115584719231765,-0.014695354921701112,-0.018079290285021643
0.01,EEM,0.2,0.005449221737331598,0.3014068390641516,0.014695354921701112,0.018079290285021643,-0.005449221737331598,-0.014695354921701112,-0.018079290285021643
0.01,EFA,0.2,0.004180691792510848,0.23124203033425897,0.014695354921701112,0.018079290285021643,-0.004180691792510848,-0.014695354921701112,-0.018079290285021643
0.01,GLD,0.2,0.007896668050623636,0.4367797588363233,0.014695354921701112,0.018079290285021643,-0.007896668050623636,-0.014695354921701112,-0.018079290285021643
0.01,IEF,0.2,0.00015155285736324225,0.008382677360338696,0.014695354921701112,0.018079290285021643,-0.00015155285736324225,-0.014695354921701112,-0.018079290285021643
0.05,AGG,0.2,0.00021459161760571744,0.01635634243006169,0.010104575528265311,0.01311978020289638,-0.00021459161760571744,-0.010104575528265311,-0.01311978020289638
0.05,EEM,0.2,0.0036893944794822706,0.2812085585601338,0.010104575528265311,0.01311978020289638,-0.0036893944794822706,-0.010104575528265311,-0.01311978020289638
0.05,EFA,0.2,0.0027273862774335987,0.20788353427075623,0.010104575528265311,0.01311978020289638,-0.0027273862774335987,-0.010104575528265311,-0.01311978020289638
0.05,GLD,0.2,0.006368615281055569,0.48542088225301255,0.010104575528265311,0.01311978020289638,-0.006368615281055569,-0.010104575528265311,-0.01311978020289638
0.05,IEF,0.2,0.00011979254731922412,0.009130682486035718,0.010104575528265311,0.01311978020289638,-0.00011979254731922412,-0.010104575528265311,-0.01311978020289638
